Player,,Country,%Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Year,Home/Away
Gillespie, J N,Australia,19.97%,2,3,2,0,1,0,201*,231,43.5,231,2,0,,
Ponting, R T,Australia,16.51%,2,3,1,1,1,0,118*,191,50.4,95.5,2,0,,
Hussey, M E K,Australia,20.92%,2,3,0,0,1,0,182,242,69.74,80.67,0,0,,
Gilchrist, A C,Australia,13.48%,2,2,0,0,1,0,144,156,67.83,78,5,1,,
Jaques, P A,Australia,5.70%,1,1,0,1,0,0,66,66,67.35,66,1,0,,
Shahriar Nafees,,Bangladesh,23.23%,2,4,0,1,1,1,138,250,60.98,62.5,1,0,,
Rajin Saleh,,Bangladesh,16.36%,2,4,0,2,0,0,71,176,38.1,44,0,0,,
Hayden, M L,Australia,9.25%,2,3,0,1,0,0,72,107,48.64,35.67,6,0,,
Habibul Bashar,,Bangladesh,13.10%,2,4,0,1,0,0,76,141,65.28,35.25,0,0,,
Mohammad Rafique,,Bangladesh,9.67%,2,4,0,1,0,0,65,104,94.55,26,0,0,,
Clarke, M J,Australia,4.41%,2,3,1,0,0,0,23*,51,46.79,25.5,0,0,,
Lee, B,Australia,3.80%,2,2,0,0,0,0,29,44,35.48,22,3,0,,
Khaled Mashud,,Bangladesh,5.76%,2,4,1,0,0,1,34*,62,29.81,20.67,3,0,,
Aftab Ahmed,,Bangladesh,7.62%,2,4,0,0,0,0,29,82,42.27,20.5,0,0,,
Mohammad Ashraful,,Bangladesh,6.32%,2,4,0,0,0,0,29,68,68,17,0,0,,
Javed Omar,,Bangladesh,6.13%,2,4,0,0,0,0,27,66,64.71,16.5,0,0,,
Abdur Razzak,,Bangladesh,1.39%,1,2,0,0,0,1,15,15,57.69,7.5,0,0,,
Shahadat Hossain,,Bangladesh,0.65%,2,4,3,0,0,1,3*,7,15.56,7,2,0,,
Martyn, D R,Australia,0.95%,1,2,0,0,0,0,7,11,36.67,5.5,0,0,,
Warne, S K,Australia,0.95%,2,2,0,0,0,0,6,11,25.58,5.5,1,0,,
Mashrafe Mortaza,,Bangladesh,1.02%,2,4,0,0,0,1,6,11,29.73,2.75,0,0,,
Enamul Haque,,Bangladesh,,1,2,0,0,0,2,0*,0,0,0,0,0,,
Clark, S R,Australia,,1,1,0,0,0,1,0*,0,0,0,0,0,,
Cullen, D J,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,,
MacGill, S C G,Australia,,2,1,1,0,0,0,0*,0,0,-,0,0,,
Gillespie, J N,Australia,2,43,13,90,8,11-Mar,0,0,11.25,32.25,2.09,,,,
MacGill, S C G,Australia,2,90.5,13,300,16,8/108,1,0,18.75,34.06,3.3,,,,
Warne, S K,Australia,2,87.2,12,300,11,5/113,1,0,27.27,47.64,3.44,,,,
Mohammad Rafique,,Bangladesh,2,118.5,26,305,11,May-62,1,0,27.73,64.82,2.57,,,,
Aftab Ahmed,,Bangladesh,2,7,1,28,1,28-Jan,0,0,28,42,4,,,,
Cullen, D J,Australia,1,14,0,54,1,25-Jan,0,0,54,84,3.86,,,,
Enamul Haque,,Bangladesh,1,52,9,163,3,Feb-83,0,0,54.33,104,3.13,,,,
Mashrafe Mortaza,,Bangladesh,2,70,13,221,3,Feb-56,0,0,73.67,140,3.16,,,,
Clark, S R,Australia,1,29,6,77,1,8-Jan,0,0,77,174,2.66,,,,
Lee, B,Australia,2,47,10,187,2,Jan-35,0,0,93.5,141,3.98,,,,
Shahadat Hossain,,Bangladesh,2,67,10,258,1,Jan-48,0,0,258,402,3.85,,,,
Clarke, M J,Australia,2,4,1,7,0,0/0,0,0,,,1.75,,,,
Rajin Saleh,,Bangladesh,2,9,0,37,0,0/0,0,0,,,4.11,,,,
Abdur Razzak,,Bangladesh,1,30,5,99,0,0/0,0,0,,,3.3,,,,
Mohammad Ashraful,,Bangladesh,2,1,0,11,0,0/0,0,0,,,11,,,,
